1;1;1;2
1;1;3;4
1;1;5;6
1;2;1;3
1;2;2;5
1;2;6;4
1;3;2;6
1;3;3;5
1;3;4;1
1;4;3;2
1;4;5;4
1;4;6;1
1;5;1;5
1;5;4;2
1;5;6;3
2;6;2;1
2;6;4;3
2;6;6;5
2;7;3;1
2;7;5;2
2;7;4;6
2;8;6;2
2;8;5;3
2;8;1;4
2;9;2;3
2;9;4;5
2;9;1;6
2;10;5;1
2;10;2;4
2;10;3;6
3;11;1;2
3;11;3;4
3;11;5;6
3;12;1;3
3;12;2;5
3;12;6;4
3;13;2;6
3;13;3;5
3;13;4;1
3;14;3;2
3;14;5;4
3;14;6;1
3;15;1;5
3;15;4;2
3;15;6;3
4;16;2;1
4;16;4;3
4;16;6;5
4;17;3;1
4;17;5;2
4;17;4;6
4;18;6;2
4;18;5;3
4;18;1;4
4;19;2;3
4;19;4;5
4;19;1;6
4;20;5;1
4;20;2;4
4;20;3;6
