1;1;2
1;3;4
1;5;6
1;7;8
1;9;10
1;11;12
2;2;3
2;4;1
2;6;7
2;8;5
2;10;11
2;12;9
3;1;6
3;3;8
3;5;10
3;7;12
3;9;2
3;11;4
4;2;11
4;4;9
4;6;3
4;8;1
4;10;7
4;12;5
5;1;10
5;3;12
5;5;2
5;7;4
5;9;6
5;11;8
6;2;7
6;4;5
6;6;11
6;8;9
6;10;3
6;12;1
7;1;7
7;2;8
7;3;9
7;4;10
7;5;11
7;6;12
8;7;5
8;8;6
8;9;1
8;10;2
8;11;3
8;12;4
9;1;3
9;2;4
9;5;9
9;6;10
9;7;11
9;8;12
10;1;5
10;2;6
10;3;7
10;4;8
10;9;11
10;10;12
11;5;3
11;6;4
11;7;9
11;8;10
11;11;1
11;12;2
12;2;1
12;4;3
12;6;5
12;8;7
12;10;9
12;12;11
13;1;4
13;3;2
13;5;8
13;7;6
13;9;12
13;11;10
14;2;9
14;4;11
14;6;1
14;8;3
14;10;5
14;12;7
15;1;8
15;3;6
15;5;12
15;7;10
15;9;4
15;11;2
16;2;5
16;4;7
16;6;9
16;8;11
16;10;1
16;12;3
17;1;12
17;3;10
17;5;4
17;7;2
17;9;8
17;11;6
18;7;1
18;8;2
18;9;3
18;10;4
18;11;5
18;12;6
19;1;9
19;2;10
19;3;11
19;4;12
19;5;7
19;6;8
20;3;1
20;4;2
20;9;5
20;10;6
20;11;7
20;12;8
21;5;1
21;6;2
21;7;3
21;8;4
21;11;9
21;12;10
22;1;11
22;2;12
22;3;5
22;4;6
22;9;7
22;10;8
