1;1;3
1;5;2
1;6;4
2;4;1
2;2;6
2;3;5
3;1;2
3;4;3
3;6;5
4;1;6
4;2;3
4;5;4
5;5;1
5;2;4
5;3;6
6;1;5
6;4;2
6;6;3
7;6;1
7;3;2
7;4;5
8;2;1
8;3;4
8;5;6
9;1;4
9;6;2
9;5;3
10;3;1
10;2;5
10;4;6
