1;2;1
1;3;9
1;4;8
1;5;7
1;6;10
2;1;3
2;7;6
2;8;5
2;9;4
2;10;2
3;3;2
3;4;1
3;5;9
3;6;8
3;10;7
4;1;5
4;2;4
4;3;10
4;8;7
4;9;6
5;4;3
5;5;2
5;6;1
5;7;9
5;10;8
6;1;7
6;2;6
6;3;5
6;4;10
6;9;8
7;5;4
7;6;3
7;7;2
7;8;1
7;10;9
8;1;9
8;2;8
8;3;7
8;4;6
8;5;10
9;6;5
9;7;4
9;8;3
9;9;2
9;10;1
10;1;2
10;7;5
10;8;4
10;9;3
10;10;6
11;2;10
11;3;1
11;4;9
11;5;8
11;6;7
12;1;4
12;2;3
12;7;10
12;8;6
12;9;5
13;4;2
13;5;1
13;6;9
13;7;8
13;10;3
14;1;6
14;2;5
14;3;4
14;8;10
14;9;7
15;5;3
15;6;2
15;7;1
15;8;9
15;10;4
16;1;8
16;2;7
16;3;6
16;4;5
16;9;10
17;6;4
17;7;3
17;8;2
17;9;1
17;10;5
18;1;10
18;2;9
18;3;8
18;4;7
18;5;6
