1;1;2;4
1;1;3;12
1;1;5;7
1;1;8;1
1;1;10;6
1;1;11;14
1;1;13;9
1;2;1;3
1;2;4;11
1;2;6;8
1;2;7;2
1;2;9;5
1;2;12;10
1;2;14;13
1;3;2;5
1;3;3;8
1;3;6;12
1;3;7;14
1;3;10;1
1;3;11;9
1;3;13;4
1;4;1;7
1;4;4;6
1;4;5;11
1;4;8;10
1;4;9;2
1;4;12;13
1;4;14;3
1;5;2;8
1;5;3;5
1;5;6;14
1;5;7;9
1;5;10;4
1;5;12;1
1;5;13;11
1;6;1;6
1;6;4;7
1;6;5;13
1;6;8;12
1;6;9;3
1;6;11;2
1;6;14;10
1;7;1;14
1;7;3;2
1;7;6;9
1;7;8;5
1;7;10;11
1;7;12;4
1;7;13;7
1;8;2;13
1;8;4;1
1;8;5;10
1;8;7;6
1;8;9;8
1;8;11;3
1;8;14;12
1;9;1;9
1;9;3;13
1;9;6;5
1;9;8;4
1;9;10;7
1;9;12;11
1;9;14;2
1;10;2;10
1;10;4;14
1;10;5;1
1;10;7;3
1;10;9;12
1;10;11;8
1;10;13;6
1;11;1;11
1;11;3;4
1;11;6;2
1;11;8;13
1;11;10;9
1;11;12;7
1;11;14;5
1;12;2;12
1;12;3;10
1;12;5;4
1;12;8;7
1;12;9;14
1;12;11;6
1;12;13;1
1;13;1;2
1;13;4;9
1;13;6;3
1;13;7;11
1;13;10;13
1;13;12;5
1;13;14;8
2;14;4;2
2;14;12;3
2;14;7;5
2;14;1;8
2;14;6;10
2;14;14;11
2;14;9;13
2;15;3;1
2;15;11;4
2;15;8;6
2;15;2;7
2;15;5;9
2;15;10;12
2;15;13;14
2;16;5;2
2;16;8;3
2;16;12;6
2;16;14;7
2;16;1;10
2;16;9;11
2;16;4;13
2;17;7;1
2;17;6;4
2;17;11;5
2;17;10;8
2;17;2;9
2;17;13;12
2;17;3;14
2;18;8;2
2;18;5;3
2;18;14;6
2;18;9;7
2;18;4;10
2;18;1;12
2;18;11;13
2;19;6;1
2;19;7;4
2;19;13;5
2;19;12;8
2;19;3;9
2;19;2;11
2;19;10;14
2;20;14;1
2;20;2;3
2;20;9;6
2;20;5;8
2;20;11;10
2;20;4;12
2;20;7;13
2;21;13;2
2;21;1;4
2;21;10;5
2;21;6;7
2;21;8;9
2;21;3;11
2;21;12;14
2;22;9;1
2;22;13;3
2;22;5;6
2;22;4;8
2;22;7;10
2;22;11;12
2;22;2;14
2;23;10;2
2;23;14;4
2;23;1;5
2;23;3;7
2;23;12;9
2;23;8;11
2;23;6;13
2;24;11;1
2;24;4;3
2;24;2;6
2;24;13;8
2;24;9;10
2;24;7;12
2;24;5;14
2;25;12;2
2;25;10;3
2;25;4;5
2;25;7;8
2;25;14;9
2;25;6;11
2;25;1;13
2;26;2;1
2;26;9;4
2;26;3;6
2;26;11;7
2;26;13;10
2;26;5;12
2;26;8;14
